jqcy,#genre#
青海卫视,http://nas.jqcykj.com:88/bst?id=202#http://nas.jqcykj.com:88/bst/2?id=202
宁夏卫视,http://nas.jqcykj.com:88/bst?id=203#http://nas.jqcykj.com:88/bst/2?id=203
新疆卫视,http://nas.jqcykj.com:88/bst?id=205#http://nas.jqcykj.com:88/bst/2?id=205
金鹰卡通,http://nas.jqcykj.com:88/bst?id=208#http://nas.jqcykj.com:88/bst/2?id=208
北京卡酷,http://nas.jqcykj.com:88/bst?id=209#http://nas.jqcykj.com:88/bst/2?id=209
吉林卫视,http://nas.jqcykj.com:88/bst?id=210#http://nas.jqcykj.com:88/bst/2?id=210
山西卫视,http://nas.jqcykj.com:88/bst?id=211#http://nas.jqcykj.com:88/bst/2?id=211
甘肃卫视,http://nas.jqcykj.com:88/bst?id=212#http://nas.jqcykj.com:88/bst/2?id=212
内蒙古卫视,http://nas.jqcykj.com:88/bst?id=213#http://nas.jqcykj.com:88/bst/2?id=213
新疆卫视,http://nas.jqcykj.com:88/bst?id=214#http://nas.jqcykj.com:88/bst/2?id=214
兵团卫视,http://nas.jqcykj.com:88/bst?id=215#http://nas.jqcykj.com:88/bst/2?id=215
西藏卫视,http://nas.jqcykj.com:88/bst?id=216#http://nas.jqcykj.com:88/bst/2?id=216
三沙卫视,http://nas.jqcykj.com:88/bst?id=217#http://nas.jqcykj.com:88/bst/2?id=217
东方卫视,http://154.219.125.138:5050/ysp?id=2024054503&pid=600002483&q=fhd$央视频
江西卫视,http://154.219.125.138:5050/ysp?id=2024061703&pid=600002503&q=fhd$央视频
贵州卫视,http://nas.jqcykj.com:88/gz/?id=01#http://154.219.125.138:5050/ysp?id=2024061603&pid=600002490&q=fhd$央视频
#福建省频道
#省级
//百视版权
福建综合频道,http://nas.jqcykj.com:88/bst?id=154#http://nas.jqcykj.com:88/bst/2?id=154
福建东南卫视,http://nas.jqcykj.com:88/bst?id=155#http://nas.jqcykj.com:88/bst/2?id=155
福建新闻频道,http://nas.jqcykj.com:88/bst?id=157#http://nas.jqcykj.com:88/bst/2?id=157
福建旅游体育,http://nas.jqcykj.com:88/bst?id=159#http://nas.jqcykj.com:88/bst/2?id=159
福建少儿频道,http://nas.jqcykj.com:88/bst?id=162#http://nas.jqcykj.com:88/bst/2?id=162
海峡卫视,http://nas.jqcykj.com:88/bst?id=163#http://nas.jqcykj.com:88/bst/2?id=163
#福州
福清综合,http://nas.jqcykj.com:88/gdy?id=fuzhoufq
闽侯综合,http://nas.jqcykj.com:88/gdy?id=fuzhoumh
#泉州
泉州新闻综合,http://nas.jqcykj.com:88/fj/qz?id=1
泉州闽南语,http://nas.jqcykj.com:88/fj/qz?id=2
泉州泉港一套,http://nas.jqcykj.com:88/gdy?id=quanzhouqg
晋江电视台,http://live.ijjnews.com/jjtv/sd/live.m3u8
石狮电视台,https://live-new.chinashishi.net/SSTV/sd/live.m3u8
永春综合,http://nas.jqcykj.com:88/gdy?id=quanzhoayn
永春公共,http://nas.jqcykj.com:88/gdy?id=quanzhoayngg
德化电视台,https://play.cmptp.fjgdwl.com/live/63a563ec75764af588f3215b0afa2588.m3u8
#厦门
厦门卫视,http://nas.jqcykj.com:88/bst?id=164#http://nas.jqcykj.com:88/bst/2?id=164
厦门卫视_海博,http://nas.jqcykj.com/fj/xm?id=xmws
厦门1套_海博,http://nas.jqcykj.com/fj/xm?id=xmtv1
厦门2套_海博,http://nas.jqcykj.com/fj/xm?id=xmtv2
厦门移动电视_海博,http://nas.jqcykj.com/fj/xm?id=xmtv4
#三明
三明永安综合,http://nas.jqcykj.com:88/gdy?id=sanmingya
三明沙县综合,http://nas.jqcykj.com:88/gdy?id=sanmingxs
三明尤溪综合,http://nas.jqcykj.com:88/gdy?id=sanmingyx
三明新闻综合,http://fjnhdb.chinashadt.com:2036/live/stream:nh2.stream/playlist.m3u8?zfud
宁化电视一套,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8?fujian
#漳州
#南平
#宁德
宁德新闻综合,http://nas.jqcykj.com:88/fj/nd?id=19
宁德文化旅游,http://nas.jqcykj.com:88/fj/nd?id=20
#龙岩
#平潭
