组播,#genre#
诸城新闻,http://144.255.31.236:6688/udp/239.21.1.217:5002
长清新闻,http://144.255.31.236:6688/udp/239.21.1.107:5002
安徽经济生活,http://183.164.236.214:8888/rtp/238.1.79.44:4464
安徽影视频道,http://183.164.236.214:8888/rtp/238.1.79.42:4448
安徽农业科教,http://183.164.236.214:8888/rtp/238.1.79.40:4432
安徽国际频道,http://183.164.236.214:8888/rtp/238.1.78.61:6360
安徽公共频道,http://183.164.236.214:8888/rtp/238.1.79.43:4456
安徽综艺体育,http://183.164.236.214:8888/rtp/238.1.79.41:4440
合肥新闻频道,http://183.164.236.214:8888/rtp/238.1.78.111:6760
CETV-1,http://183.164.236.214:8888/rtp/238.1.78.158:7136
上海动漫秀场,http://183.164.236.214:8888/rtp/238.1.78.154:7104
上海生活时尚,http://183.164.236.214:8888/rtp/238.1.78.155:7112
上海东方财经,http://183.164.236.214:8888/rtp/238.1.78.73:6456
上海乐游纪实,http://183.164.236.214:8888/rtp/238.1.78.151:7080
上海都市剧场,http://183.164.236.214:8888/rtp/238.1.78.74:6464
上海金色学堂,http://183.164.236.214:8888/rtp/238.1.78.76:6480
上海游戏风云,http://183.164.236.214:8888/rtp/238.1.78.81:6520
上海法治天地,http://183.164.236.214:8888/rtp/238.1.78.84:6544
金鹰纪实,http://183.164.236.214:8888/rtp/238.1.79.9:4184
茶频道,http://183.164.236.214:8888/rtp/238.1.79.30:4352
快乐垂钓,http://183.164.236.214:8888/rtp/238.1.79.31:4360
金鹰卡通,http://183.164.236.214:8888/rtp/238.1.78.100:6672
卡酷少儿,http://183.164.236.214:8888/rtp/238.1.78.97:6648
肥西新闻综合,http://183.164.236.214:8888/rtp/238.1.78.185:7352
黄山新闻综合,http://183.164.236.214:8888/rtp/238.1.78.130:6912
黄山文旅频道,http://183.164.236.214:8888/rtp/238.1.78.131:6920
旌德新闻综合,http://183.164.236.214:8888/rtp/238.1.78.215:7592
霍邱新闻综合,http://183.164.236.214:8888/rtp/238.1.78.119:6824
六安综合频道,http://183.164.236.214:8888/rtp/238.1.78.144:7024
六安社会生活,http://183.164.236.214:8888/rtp/238.1.78.145:7032
淮北新闻综合,http://183.164.236.214:8888/rtp/238.1.78.135:6952
淮北经济生活,http://183.164.236.214:8888/rtp/238.1.78.136:6960
淮南新闻综合,http://183.164.236.214:8888/rtp/238.1.78.113:6776
淮南民生频道,http://183.164.236.214:8888/rtp/238.1.78.114:6784
滁州新闻综合,http://183.164.236.214:8888/rtp/238.1.78.132:6928
滁州科教频道,http://183.164.236.214:8888/rtp/238.1.78.133:6936
滁州公共频道,http://183.164.236.214:8888/rtp/238.1.78.134:6944
蒙城新闻频道,http://183.164.236.214:8888/rtp/238.1.79.19:4264
南陵新闻综合,http://183.164.236.214:8888/rtp/238.1.78.189:7384
祁门综合频道,http://183.164.236.214:8888/rtp/238.1.79.14:4224
湾沚综合频道,http://183.164.236.214:8888/rtp/238.1.78.187:7368
繁昌新闻综合,http://183.164.236.214:8888/rtp/238.1.78.190:7392
桐城综合频道,http://183.164.236.214:8888/rtp/238.1.78.28:6152
太湖新闻综合,http://183.164.236.214:8888/rtp/238.1.79.12:4208
池州新闻综合,http://183.164.236.214:8888/rtp/238.1.78.147:7048
池州文教生活,http://183.164.236.214:8888/rtp/238.1.78.148:7056
义安新闻综合,http://183.164.236.214:8888/rtp/238.1.78.211:7560
阜阳新闻综合,http://183.164.236.214:8888/rtp/238.1.78.124:6864
阜阳生活频道,http://183.164.236.214:8888/rtp/238.1.78.125:6872
阜阳教育频道,http://183.164.236.214:8888/rtp/238.1.78.126:6880
阜阳都市文艺,http://183.164.236.214:8888/rtp/238.1.78.127:6888
泗县新闻频道,http://183.164.236.214:8888/rtp/238.1.78.193:7416
临泉新闻频道,http://183.164.236.214:8888/rtp/238.1.78.29:6160
阜南新闻综合,http://183.164.236.214:8888/rtp/238.1.79.11:4200
亳州综合频道,http://183.164.236.214:8888/rtp/238.1.78.128:6896
亳州农村频道,http://183.164.236.214:8888/rtp/238.1.78.129:6904
徽州新闻频道,http://183.164.236.214:8888/rtp/238.1.78.138:6976
蚌埠新闻综合,http://183.164.236.214:8888/rtp/238.1.78.180:7312
蚌埠生活频道,http://183.164.236.214:8888/rtp/238.1.78.181:7320
寿县新闻综合,http://183.164.236.214:8888/rtp/238.1.78.146:7040
屯溪融媒频道,http://183.164.236.214:8888/rtp/238.1.79.45:4472
芜湖新闻综合,http://183.164.236.214:8888/rtp/238.1.78.112:6768
芜湖生活频道,http://183.164.236.214:8888/rtp/238.1.78.80:6512
无为新闻频道,http://183.164.236.214:8888/rtp/238.1.78.188:7376
马鞍山新闻综合,http://183.164.236.214:8888/rtp/238.1.79.15:4232
马鞍山科教生活,http://183.164.236.214:8888/rtp/238.1.78.77:6488
安庆新闻综合,http://183.164.236.214:8888/rtp/238.1.78.117:6808
安庆经济生活,http://183.164.236.214:8888/rtp/238.1.78.118:6816
潜山综合频道,http://183.164.236.214:8888/rtp/238.1.78.192:7408
黄山区融媒,http://183.164.236.214:8888/rtp/238.1.78.199:7464
歙县综合频道,http://183.164.236.214:8888/rtp/238.1.78.200:7472
休宁新闻综合,http://183.164.236.214:8888/rtp/238.1.79.20:4272
黟县新闻综合,http://183.164.236.214:8888/rtp/238.1.78.149:7064
宣城综合频道,http://183.164.236.214:8888/rtp/238.1.78.142:7008
宣城文旅生活,http://183.164.236.214:8888/rtp/238.1.78.143:7016
广德新闻综合,http://183.164.236.214:8888/rtp/238.1.78.212:7568
广德生活频道,http://183.164.236.214:8888/rtp/238.1.78.213:7576
郎溪新闻频道,http://183.164.236.214:8888/rtp/238.1.78.214:7584
宁国新闻综合,http://183.164.236.214:8888/rtp/238.1.78.216:7600
铜陵新闻综合,http://183.164.236.214:8888/rtp/238.1.78.139:6984
铜陵教育科技,http://183.164.236.214:8888/rtp/238.1.78.141:7000
枞阳电视台,http://183.164.236.214:8888/rtp/238.1.78.210:7552
霍山综合频道,http://183.164.236.214:8888/rtp/238.1.78.220:7632
金寨综合频道,http://183.164.236.214:8888/rtp/238.1.79.21:4280
濉溪新闻频道,http://183.164.236.214:8888/rtp/238.1.78.209:7544
宿州新闻综合,http://183.164.236.214:8888/rtp/238.1.78.121:6840
宿州公共频道,http://183.164.236.214:8888/rtp/238.1.78.122:6848
宿州科教频道,http://183.164.236.214:8888/rtp/238.1.78.123:6856
萧县新闻综合,http://183.164.236.214:8888/rtp/238.1.79.46:4480
五河新闻综合,http://183.164.236.214:8888/rtp/238.1.79.52:4528
固镇新闻综合,http://183.164.236.214:8888/rtp/238.1.79.47:4488
界首综合频道,http://183.164.236.214:8888/rtp/238.1.78.195:7432
利辛新闻综合,http://183.164.236.214:8888/rtp/238.1.78.196:7440
涡阳新闻综合,http://183.164.236.214:8888/rtp/238.1.78.197:7448
九画面,http://220.167.170.217:4000/rtp/239.120.1.131:8268
青海都市,http://220.167.170.217:4000/rtp/239.120.1.41:8220
青海经视,http://220.167.170.217:4000/rtp/239.120.1.42:8226
海东综合频道,http://220.167.170.217:4000/rtp/239.120.1.102:8328
海北电视台,http://220.167.170.217:4000/rtp/239.120.1.123:8266
海西电视台,http://220.167.170.217:4000/rtp/239.120.1.184:9160
西宁生活服务,http://220.167.170.217:4000/rtp/239.120.1.248:9440
西宁新闻综合,http://220.167.170.217:4000/rtp/239.120.1.249:9444
上海欢笑剧场,http://220.167.170.217:4000/rtp/239.120.1.216:9316
上海欢笑剧场,http://220.167.170.217:4000/rtp/239.120.1.186:8378
上海游戏风云,http://220.167.170.217:4000/rtp/239.120.1.215:9312
上海乐游频道,http://220.167.170.217:4000/rtp/239.120.1.217:9320
上海动漫秀场,http://220.167.170.217:4000/rtp/239.120.1.219:9328
上海生活时尚,http://220.167.170.217:4000/rtp/239.120.1.220:9332
上海都市剧场,http://220.167.170.217:4000/rtp/239.120.1.221:9336
上海东方财经,http://220.167.170.217:4000/rtp/239.120.1.55:8304
上海法治天地,http://220.167.170.217:4000/rtp/239.120.1.54:8298
上海金色学堂,http://220.167.170.217:4000/rtp/239.120.1.69:8374
金鹰纪实,http://220.167.170.217:4000/rtp/239.120.1.73:8412
快乐垂钓,http://220.167.170.217:4000/rtp/239.120.1.225:9346
哈哈炫动,http://220.167.170.217:4000/rtp/239.120.1.140:8898
金鹰卡通,http://220.167.170.217:4000/rtp/239.120.1.139:8892
卡酷少儿,http://220.167.170.217:4000/rtp/239.120.1.138:8886
嘉佳卡通,http://220.167.170.217:4000/rtp/239.120.1.108:8640
CETV1,http://220.167.170.217:4000/rtp/239.120.1.133:8856
CETV2,http://220.167.170.217:4000/rtp/239.120.1.44:8238
CETV4,http://220.167.170.217:4000/rtp/239.120.1.45:8244
天元围棋,http://220.167.170.217:4000/rtp/239.120.1.59:8320
中国天气,http://220.167.170.217:4000/rtp/239.120.1.241:9408
海北电视台,http://220.167.170.217:4000/rtp/239.120.1.200:8404
久治,http://220.167.170.217:4000/rtp/239.120.1.34:9534
青海油田,http://220.167.170.217:4000/rtp/239.120.1.144:8416
矿区生活,http://220.167.170.217:4000/rtp/239.120.1.145:8420
黄河电视台,http://110.178.145.221:8188/udp/239.1.1.2:8002
山西经济与科技,http://110.178.145.221:8188/udp/239.1.1.3:8003
山西影视,http://110.178.145.221:8188/udp/239.1.1.4:8004
山西社会与法治,http://110.178.145.221:8188/udp/239.1.1.5:8005
山西文体生活,http://110.178.145.221:8188/udp/239.1.1.6:8006
晋中综合频道,http://110.178.145.221:8188/udp/239.1.1.120:8120
晋中公共频道,http://110.178.145.221:8188/udp/239.1.1.121:8121
运城1台,http://110.178.145.221:8188/udp/239.1.1.123:8123
运城2台,http://110.178.145.221:8188/udp/239.1.1.124:8124
盐湖频道,http://110.178.145.221:8188/udp/239.1.1.125:8125
凤凰资讯,http://110.178.145.221:8188/udp/239.1.1.127:8127
上海动漫秀场,http://110.178.145.221:8188/udp/239.1.1.80:8080
上海都市剧场,http://110.178.145.221:8188/udp/239.1.1.81:8081
上海生活时尚,http://110.178.145.221:8188/udp/239.1.1.76:8076
上海法治天地,http://110.178.145.221:8188/udp/239.1.1.79:8079
上海金色学堂,http://110.178.145.221:8188/udp/239.1.1.82:8082
上海游戏风云,http://110.178.145.221:8188/udp/239.1.1.83:8083
上海乐游纪实,http://110.178.145.221:8188/udp/239.1.1.84:8084
上海东方财经,http://110.178.145.221:8188/udp/239.1.1.85:8085
湖南金鹰纪实,http://110.178.145.221:8188/udp/239.1.1.63:8063
湖南快乐垂钓,http://110.178.145.221:8188/udp/239.1.1.86:8086
湖南茶频道,http://110.178.145.221:8188/udp/239.1.1.77:8077
CETV1,http://110.178.145.221:8188/rtp/239.1.1.65:8065
CETV2,http://110.178.145.221:8188/rtp/239.1.1.66:8066
CETV4,http://110.178.145.221:8188/rtp/239.1.1.67:8067
金鹰卡通,http://110.178.145.221:8188/rtp/239.1.1.61:8061
卡酷少儿,http://110.178.145.221:8188/rtp/239.1.1.62:8062
嘉佳卡通,http://110.178.145.221:8188/rtp/239.1.1.68:8068
哈哈炫动,http://110.178.145.221:8188/rtp/239.1.1.64:8064
优漫卡通,http://110.178.145.221:8188/rtp/239.1.1.72:8072
江苏城市频道,http://114.226.212.153:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.153:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.153:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.153:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.153:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.153:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.153:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.153:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.153:8787/rtp/239.49.1.29:6000
南京新闻综合,http://114.226.212.153:8787/rtp/239.49.0.25:8192
南京科教频道,http://114.226.212.153:8787/rtp/239.49.0.183:9434
南京生活频道,http://114.226.212.153:8787/rtp/239.49.0.26:8200
GCTN英语,http://114.226.212.153:8787/rtp/239.49.0.9:8064
江苏城市频道,http://114.226.212.154:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.154:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.154:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.154:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.154:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.154:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.154:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.154:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.154:8787/rtp/239.49.1.29:6000
南京新闻综合,http://114.226.212.154:8787/rtp/239.49.0.25:8192
南京科教频道,http://114.226.212.154:8787/rtp/239.49.0.183:9434
南京生活频道,http://114.226.212.154:8787/rtp/239.49.0.26:8200
GCTN英语,http://114.226.212.154:8787/rtp/239.49.0.9:8064
江苏城市频道,http://114.226.212.155:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.155:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.155:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.155:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.155:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.155:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.155:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.155:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.155:8787/rtp/239.49.1.29:6000
南京新闻综合,http://114.226.212.155:8787/rtp/239.49.0.25:8192
南京科教频道,http://114.226.212.155:8787/rtp/239.49.0.183:9434
南京生活频道,http://114.226.212.155:8787/rtp/239.49.0.26:8200
GCTN英语,http://114.226.212.155:8787/rtp/239.49.0.9:8064
江苏城市频道,http://121.237.245.222:8888/rtp/239.49.8.107:8000
江苏综艺频道,http://121.237.245.222:8888/rtp/239.49.8.108:8000
江苏体育休闲,http://121.237.245.222:8888/rtp/239.49.8.117:8000
江苏影视频道,http://121.237.245.222:8888/rtp/239.49.8.118:8000
江苏优漫卡通,http://121.237.245.222:8888/rtp/239.49.8.119:8000
江苏新闻频道,http://121.237.245.222:8888/rtp/239.49.8.120:8000
江苏教育频道,http://121.237.245.222:8888/rtp/239.49.8.122:8000
江苏国际频道,http://121.237.245.222:8888/rtp/239.49.1.23:6000
江苏财富天下,http://121.237.245.222:8888/rtp/239.49.1.29:6000
南京新闻综合,http://121.237.245.222:8888/rtp/239.49.0.25:8192
南京科教频道,http://121.237.245.222:8888/rtp/239.49.0.183:9434
南京生活频道,http://121.237.245.222:8888/rtp/239.49.0.26:8200
GCTN英语,http://121.237.245.222:8888/rtp/239.49.0.9:8064
四川影视文艺,http://171.213.146.71:8188/udp/239.93.0.166:5140
四川经济频道,http://171.213.146.71:8188/udp/239.93.1.101:5140
四川新闻频道,http://171.213.146.71:8188/udp/239.93.0.47:5140
四川乡村频道,http://171.213.146.71:8188/udp/239.93.0.52:5140
四川文化旅游,http://171.213.146.71:8188/udp/239.93.1.102:5140
四川科教频道,http://171.213.146.71:8188/udp/239.93.42.44:5140
四川峨眉电影,http://171.213.146.71:8188/udp/239.93.0.252:5140
四川妇女儿童,http://171.213.146.71:8188/udp/239.93.0.219:5140
凤凰中文,http://171.213.146.71:8188/udp/239.93.0.162:2192
凤凰资讯,http://171.213.146.71:8188/udp/239.93.0.118:2191
成都综合频道,http://171.213.146.71:8188/udp/239.93.0.16:5140
成都经济频道,http://171.213.146.71:8188/udp/239.93.0.17:1239
成都生活频道,http://171.213.146.71:8188/udp/239.93.0.18:1238
成都影视频道,http://171.213.146.71:8188/udp/239.93.0.19:1250
成都公共频道,http://171.213.146.71:8188/udp/239.93.1.231:5140
成都少儿频道,http://171.213.146.71:8188/udp/239.93.0.21:1251
蓉城先锋,http://171.213.146.71:8188/udp/239.93.0.91:2101
绚影4K,http://171.213.146.71:8188/udp/239.93.42.33:5140
爱上4K,http://171.213.146.71:8188/udp/239.93.0.97:5140
4K乐享超清,http://171.213.146.71:8188/udp/239.93.0.43:5140
中录动漫4K,http://171.213.146.71:8188/udp/239.93.1.188:5140
百视通华语影院,http://171.213.146.71:8188/udp/239.93.0.138:5140
百视通星光院线,http://171.213.146.71:8188/udp/239.93.0.139:5140
百视通全球大片,http://171.213.146.71:8188/udp/239.93.0.105:5140
百视通热门剧场,http://171.213.146.71:8188/udp/239.93.0.140:5140
百视通谍战剧场,http://171.213.146.71:8188/udp/239.93.0.95:5140
百视通青春动漫,http://171.213.146.71:8188/udp/239.93.0.146:5140
百视通宝宝动画,http://171.213.146.71:8188/udp/239.93.0.147:5140
百视通热门综艺,http://171.213.146.71:8188/udp/239.93.0.151:5140
百视通戏曲精选,http://171.213.146.71:8188/udp/239.93.0.144:5140
百视通电竞天堂,http://171.213.146.71:8188/udp/239.93.1.135:5140
iHOT爱浪漫,http://171.213.146.71:8188/udp/239.93.42.21:5140
iHOT爱喜剧,http://171.213.146.71:8188/udp/239.93.42.9:5140
iHOT爱奇谈,http://171.213.146.71:8188/udp/239.93.42.22:5140
iHOT爱科幻,http://171.213.146.71:8188/udp/239.93.42.10:5140
iHOT爱院线,http://171.213.146.71:8188/udp/239.93.42.11:5140
iHOT爱谍战,http://171.213.146.71:8188/udp/239.93.42.14:5140
iHOT爱历史,http://171.213.146.71:8188/udp/239.93.42.13:5140
iHOT爱悬疑,http://171.213.146.71:8188/udp/239.93.42.12:5140
iHOT爱都市,http://171.213.146.71:8188/udp/239.93.42.15:5140
iHOT爱旅行,http://171.213.146.71:8188/udp/239.93.42.16:5140
iHOT爱体育,http://171.213.146.71:8188/udp/239.93.42.19:5140
iHOT爱赛车,http://171.213.146.71:8188/udp/239.93.42.20:5140
iHOT爱动漫,http://171.213.146.71:8188/udp/239.93.42.23:5140
iHOT爱幼教,http://171.213.146.71:8188/udp/239.93.42.17:5140
iHOT爱玩具,http://171.213.146.71:8188/udp/239.93.42.18:5140
红色经典,http://171.213.146.71:8188/udp/239.93.1.176:5140
上海都市剧场,http://171.213.146.71:8188/udp/239.93.42.30:5140
