smt,#genre#
Nick Jr,http://96.44.160.246:9999/smt.php?id=Nickjr
Animal Planet (Eng),http://96.44.160.246:9999/smt.php?id=AnimalPlanet
NatGeo Wild HD,http://96.44.160.246:9999/smt.php?id=Natgeowild
BBC World News,http://96.44.160.246:9999/smt.php?id=bbcworldnews_antik
Channel 5,http://96.44.160.246:9999/smt.php?id=Channel5HD
Channel 5 backup,http://96.44.160.246:9999/smt.php?id=Mewatch_ch5
Channel 8,http://96.44.160.246:9999/smt.php?id=Channel8HD
Channel 8 backup,http://96.44.160.246:9999/smt.php?id=Mewatch_ch8
Channel U,http://96.44.160.246:9999/smt.php?id=ChannelU
Channel U backup,http://96.44.160.246:9999/smt.php?id=Mewatch_chU
Suria,http://96.44.160.246:9999/smt.php?id=Suria
Suria backup,http://96.44.160.246:9999/smt.php?id=Mewatch_Suria
Vasantham,http://96.44.160.246:9999/smt.php?id=Vasantham
Vasantham backup,http://96.44.160.246:9999/smt.php?id=Mewatch_Vasantham
CNA backup1,http://96.44.160.246:9999/smt.php?id=Mewatch_cna
CNA backup2,http://96.44.160.246:9999/smt.php?id=cna_twn
TV1,http://96.44.160.246:9999/smt.php?id=TV1
TV1 backup,http://96.44.160.246:9999/smt.php?id=TV1_backup
TV2,http://96.44.160.246:9999/smt.php?id=TV2
TV3,http://96.44.160.246:9999/smt.php?id=TV3
TV3 SD,http://96.44.160.246:9999/smt.php?id=TV3_mega
TV3 backup,http://96.44.160.246:9999/smt.php?id=TV3_backup
TV3 backup2,http://96.44.160.246:9999/smt.php?id=TV3_1
TV5,http://96.44.160.246:9999/smt.php?id=TV5
NTV7,http://96.44.160.246:9999/smt.php?id=NTV7
8TV,http://96.44.160.246:9999/smt.php?id=TV8
TV9,http://96.44.160.246:9999/smt.php?id=TV9
Al-Hijrah,http://96.44.160.246:9999/smt.php?id=Alhijrah
Quran,http://96.44.160.246:9999/smt.php?id=quran_mido
Sunnah,http://96.44.160.246:9999/smt.php?id=sunnah_mido
Bernama,http://96.44.160.246:9999/smt.php?id=Bernama
Awani,http://96.44.160.246:9999/smt.php?id=Awani
Ceria,http://96.44.160.246:9999/smt.php?id=Ceria
Oasis,http://96.44.160.246:9999/smt.php?id=Oasis
Boo,http://96.44.160.246:9999/smt.php?id=Boo
Citra,http://96.44.160.246:9999/smt.php?id=AAcitra1
Prima,http://96.44.160.246:9999/smt.php?id=Prima
Prima backup,http://96.44.160.246:9999/smt.php?id=AAprima
Ria,http://96.44.160.246:9999/smt.php?id=Ria-0
Ria-3,http://96.44.160.246:9999/smt.php?id=Ria_backup
Awesome TV,http://96.44.160.246:9999/smt.php?id=Dsangat
Aura,http://96.44.160.246:9999/smt.php?id=Aura
Sensasi,http://96.44.160.246:9999/smt.php?id=Sensasi
Siar,http://96.44.160.246:9999/smt.php?id=Siar
Rania,http://96.44.160.246:9999/smt.php?id=Rania
WION,http://96.44.160.246:9999/smt.php?id=Wion
Astro MTV,http://96.44.160.246:9999/smt.php?id=AstroMTV
Showcase,http://96.44.160.246:9999/smt.php?id=Showcase
RTM Asean,http://96.44.160.246:9999/smt.php?id=Rtmasean
Foodnetwork Hd,http://96.44.160.246:9999/smt.php?id=Foodnetwork
Cartoon Network,http://96.44.160.246:9999/smt.php?id=Cn
TvN,http://96.44.160.246:9999/smt.php?id=TVN
